"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"Dic 2020","-0,025","-0,089","-0,013","-0,092","-69,88%"
"Nov 2020","-0,083","0,022","0,022","-0,083","-495,24%"
"Oct 2020","0,021","0,033","0,033","-0,017","5,00%"
"Sep 2020","0,020","0,013","0,036","0,000","17,65%"
"Ago 2020","0,017","0,030","0,045","0,016","-50,00%"
"Jul 2020","0,034","0,041","0,045","-0,017","-17,07%"
"Jun 2020","0,041","0,065","0,088","0,009","-48,75%"
"May 2020","0,080","0,042","0,154","-0,128","-3,61%"
"Abr 2020","0,083","0,222","0,390","0,083","-63,44%"
"Mar 2020","0,227","0,572","0,609","0,227","-64,75%"
"Feb 2020","0,644","0,731","0,731","0,644","-11,90%"
"Ene 2020","0,731","0,767","0,767","0,565","-5,19%"
"Dic 2019","0,771","0,760","0,788","0,731","1,58%"
"Nov 2019","0,759","0,761","0,767","0,714","-0,13%"
"Oct 2019","0,760","0,768","0,908","0,711","-1,94%"
"Sep 2019","0,775","0,744","0,781","0,735","3,06%"
"Ago 2019","0,752","0,760","0,768","0,744","-1,05%"
"Jul 2019","0,760","0,753","0,761","0,731","2,70%"
"Jun 2019","0,740","0,731","0,748","0,698","1,23%"
"May 2019","0,731","0,752","0,757","0,731","-2,79%"
"Abr 2019","0,752","0,797","0,840","0,752","-2,21%"
"Mar 2019","0,769","0,627","0,776","0,566","22,45%"
"Feb 2019","0,628","0,685","0,707","0,622","-10,03%"
"Ene 2019","0,698","0,727","0,739","0,692","-3,99%"
"Dic 2018","0,727","0,689","0,772","0,653","3,71%"
"Nov 2018","0,701","0,719","0,768","0,701","-1,96%"
"Oct 2018","0,715","0,726","0,731","0,705","-2,19%"
"Sep 2018","0,731","0,736","0,756","0,731","-1,75%"
"Ago 2018","0,744","0,702","0,752","0,688","6,44%"
"Jul 2018","0,699","0,574","0,699","0,574","20,52%"
"Jun 2018","0,580","0,453","0,580","0,451","29,75%"
"May 2018","0,447","0,512","0,512","0,420","-9,88%"
"Abr 2018","0,496","0,427","0,581","0,427","10,71%"
"Mar 2018","0,448","0,361","0,448","0,327","24,10%"
"Feb 2018","0,361","0,311","0,361","0,307","15,71%"
"Ene 2018","0,312","0,339","0,403","0,304","-8,24%"
"Dic 2017","0,340","0,378","0,382","0,299","-14,79%"
"Nov 2017","0,399","0,369","0,454","0,369","8,13%"
"Oct 2017","0,369","0,238","0,369","0,215","52,48%"
"Sep 2017","0,242","0,206","0,252","0,204","16,91%"
"Ago 2017","0,207","0,150","0,209","0,126","35,29%"
"Jul 2017","0,153","0,213","0,221","0,144","-26,09%"
"Jun 2017","0,207","0,181","0,210","0,168","13,74%"
"May 2017","0,182","0,168","0,182","0,168","10,30%"
"Abr 2017","0,165","0,157","0,228","0,157","-23,96%"
"Mar 2017","0,217","0,215","0,222","0,206","1,88%"
"Feb 2017","0,213","0,224","0,224","0,209","-5,75%"
"Ene 2017","0,226","0,229","0,240","0,211","3,67%"
"Dic 2016","0,218","0,202","0,234","0,198","7,39%"
"Nov 2016","0,203","0,240","0,240","0,197","-12,88%"
"Oct 2016","0,233","0,239","0,247","0,222","7,37%"
"Sep 2016","0,217","0,220","0,242","0,214","-5,65%"
"Ago 2016","0,230","0,301","0,302","0,219","-21,50%"
"Jul 2016","0,293","0,335","0,389","0,273","-33,71%"
"Jun 2016","0,442","0,470","0,470","0,361","-7,53%"
"May 2016","0,478","0,462","0,480","0,449","5,52%"
"Abr 2016","0,453","0,457","0,470","0,453","-3,21%"
"Mar 2016","0,468","0,470","0,470","0,450","1,08%"
"Feb 2016","0,463","0,475","0,481","0,459","-1,07%"
"Ene 2016","0,468","0,496","0,500","0,468","1,96%"
"Dic 2015","0,459","0,489","0,498","0,459","-4,97%"
"Nov 2015","0,483","0,485","0,489","0,475","1,05%"
"Oct 2015","0,478","0,488","0,489","0,476","-2,25%"
"Sep 2015","0,489","0,472","0,507","0,468","6,30%"
"Ago 2015","0,460","0,475","0,479","0,458","-1,92%"
"Jul 2015","0,469","0,468","0,484","0,442","-2,09%"
"Jun 2015","0,479","0,465","0,479","0,458","4,36%"
"May 2015","0,459","0,444","0,489","0,444","0,22%"
"Abr 2015","0,458","0,450","0,460","0,414","4,09%"
"Mar 2015","0,440","0,428","0,460","0,421","4,51%"
"Feb 2015","0,421","0,409","0,432","0,409","2,43%"
"Ene 2015","0,411","0,409","0,421","0,400","-4,20%"
"Dic 2014","0,429","0,457","0,457","0,411","-4,67%"
"Nov 2014","0,450","0,448","0,460","0,427","2,04%"
"Oct 2014","0,441","0,479","0,479","0,396","-8,32%"
"Sep 2014","0,481","0,426","0,485","0,423","14,25%"
"Ago 2014","0,421","0,406","0,430","0,375","0,24%"
"Jul 2014","0,420","0,396","0,446","0,378","5,79%"
"Jun 2014","0,397","0,369","0,412","0,354","9,37%"
"May 2014","0,363","0,374","0,387","0,360","-3,20%"
"Abr 2014","0,375","0,352","0,381","0,330","6,53%"
"Mar 2014","0,352","0,371","0,371","0,337","-3,03%"
"Feb 2014","0,363","0,375","0,391","0,363","0,55%"
"Ene 2014","0,361","0,386","0,386","0,361","-7,20%"
"Dic 2013","0,389","0,386","0,401","0,372","2,64%"
"Nov 2013","0,379","0,359","0,401","0,356","1,07%"
"Oct 2013","0,375","0,386","0,393","0,365","-2,85%"
"Sep 2013","0,386","0,376","0,391","0,343","4,61%"
"Ago 2013","0,369","0,365","0,382","0,356","1,10%"
"Jul 2013","0,365","0,370","0,380","0,355","1,11%"
"Jun 2013","0,361","0,381","0,381","0,361","-3,73%"
"May 2013","0,375","0,370","0,376","0,360","1,35%"
"Abr 2013","0,370","0,380","0,380","0,366","1,09%"
"Mar 2013","0,366","0,363","0,391","0,355","-1,08%"
"Feb 2013","0,370","0,359","0,382","0,357","-1,60%"
"Ene 2013","0,376","0,356","0,377","0,348","-18,08%"
"Dic 2012","0,459","0,445","0,464","0,445","3,61%"
"Nov 2012","0,443","0,435","0,445","0,432","2,31%"
"Oct 2012","0,433","0,448","0,448","0,430","-3,99%"
"Sep 2012","0,451","0,440","0,466","0,440","3,68%"
"Ago 2012","0,435","0,427","0,447","0,427","0,93%"
"Jul 2012","0,431","0,468","0,472","0,431","-8,10%"
"Jun 2012","0,469","0,478","0,480","0,458","-1,88%"
"May 2012","0,478","0,494","0,495","0,472","-3,24%"
"Abr 2012","0,494","0,493","0,498","0,492","0,20%"
"Mar 2012","0,493","0,495","0,498","0,489","-0,80%"
"Feb 2012","0,497","0,485","0,497","0,483","1,43%"
"Ene 2012","0,490","0,488","0,498","0,488","0,00%"
"Dic 2011","0,490","0,520","0,522","0,490","-6,13%"
"Nov 2011","0,522","0,548","0,550","0,517","-4,74%"
"Oct 2011","0,548","0,553","0,555","0,545","0,00%"
"Sep 2011","0,548","0,557","0,561","0,547","-1,62%"
"Ago 2011","0,557","0,563","0,563","0,546","-0,89%"
"Jul 2011","0,562","0,575","0,577","0,562","-2,60%"
"Jun 2011","0,577","0,597","0,597","0,573","-3,51%"
"May 2011","0,598","0,605","0,607","0,596","-1,48%"
"Abr 2011","0,607","0,663","0,683","0,605","-7,75%"
"Mar 2011","0,658","0,618","0,658","0,617","6,13%"
"Feb 2011","0,620","0,600","0,682","0,600","3,68%"
"Ene 2011","0,598","0,592","0,620","0,587","0,50%"